broadcasted_at,fee_price,mined_at
86246470,99975,
86278897,99979,
85878086,99981,
86240815,99983,
85956853,99983,
85999097,99984,
86328375,99987,
86192142,99988,
85837156,99988,
86021725,99990,
86219835,99991,
85872508,99991,
86002588,99992,
86308144,99992,
85899283,99992,
86136127,99993,
86397415,99994,
86107356,99994,
86076774,99994,
86185127,99997,
86063404,99997,
85884159,99998,
86143452,99998,
85886332,99998,
85877119,99998,
86072009,99999,
86245581,99999,
85800175,99999,
86091692,100000,
85868327,100001,
86024593,100002,
86249910,100002,
86228363,100002,
85937505,100002,
85943995,100003,
86295051,100004,
86236670,100004,
86263608,100004,
86020589,100004,
86087218,100005,
86201576,100006,
85801989,100006,
86264626,100007,
86310354,100007,
85860733,100007,
84453779,100008,
81692582,100008,
80571400,100008,
83327419,100008,
82802291,100008,
85918631,100008,
80009748,100008,
41340511,100009,
47624046,100009,
37569175,100009,
42434975,100009,
65403694,100009,
51128509,100009,
46488189,100009,
70927615,100009,
61729488,100009,
36187776,100009,
54541696,100009,
44967481,100009,
58519021,100009,
72381838,100009,
47191862,100009,
52260579,100009,
49554373,100009,
72957964,100009,
47526353,100009,
50141662,100009,
60947392,100009,
49006140,100009,
72210454,100009,
71479371,100009,
51398837,100009,
75465668,100009,
77809702,100009,
56413647,100009,
72873598,100009,
78376065,100009,
36954960,100009,
80776542,100009,
81388219,100009,
83120161,100009,
81958373,100009,
75443399,100009,
60275084,100009,
38596515,100009,
74706503,100009,
84414514,100009,
85584304,100009,
81923563,100009,
80758219,100009,
58176620,100009,
77630769,100009,
59003756,100009,
72807342,100009,
58346017,100009,
85477719,100009,
82399320,100009,
48584917,100009,
80206334,100009,
75898425,100009,
57375045,100009,
75861300,100009,
65919942,100009,
74590013,100009,
80628197,100009,
68991607,100009,
48037308,100009,
84200364,100009,
68991148,100009,
86012226,100009,
81675724,100009,
61419104,100009,
44318023,100009,
78833598,100009,
65871604,100009,
85911395,100009,
75735931,100009,
79437965,100009,
79433381,100009,
40065347,100009,
37012633,100009,
38040107,100009,
80528476,100009,
66496632,100009,
37186077,100009,
67003269,100009,
66999850,100009,
62764256,100009,
54293366,100009,
75677984,100009,
52174033,100009,
60082714,100009,
37176424,100009,
57795177,100009,
67523415,100009,
38887599,100009,
66381215,100009,
42118380,100009,
71336436,100009,
70630989,100009,
37591872,100009,
69356200,100009,
60647319,100009,
67454300,100009,
65737825,100009,
38643592,100009,
65128414,100009,
17041508,100009,
47339256,100009,
60621357,100009,
71196432,100009,
47848781,100009,
55372314,100009,
43906113,100009,
62513360,100009,
49174337,100009,
77358873,100009,
56470585,100009,
66634884,100009,
71697990,100009,
56004178,100009,
56444271,100009,
69039614,100009,
50924209,100009,
72457448,100009,
77916141,100009,
72442851,100009,
46281258,100009,
45636742,100009,
15936892,100009,
